ad,tur,mutfak,telefon,website,instagram,saatler,bahce,wifi,adres,lat,lon,harita,osm_id
Coffee de Madrid,cafe,,,,,,,,,39.9245463,32.8254947,"https://www.google.com/maps/search/?api=1&query=39.9245463,32.8254947",node/12741125780
Coffee de Madrid Cubes,cafe,,,,,,,,Öğretmenler Cd. 8,39.9056973,32.8032485,"https://www.google.com/maps/search/?api=1&query=39.9056973,32.8032485",node/13039202263
Coffee Lab,cafe,coffee_shop,,,,,yes,,,39.9061676,32.8607376,"https://www.google.com/maps/search/?api=1&query=39.9061676,32.8607376",node/309888017
Coffee LAB Bahçeli 71,cafe,,,,,,,,,39.9212036,32.8273697,"https://www.google.com/maps/search/?api=1&query=39.9212036,32.8273697",node/12556376893
Coffee LAB Bahçeli 72,cafe,,,,,,,,,39.9202347,32.8276558,"https://www.google.com/maps/search/?api=1&query=39.9202347,32.8276558",node/12556392652
Coffee Project,cafe,coffee_shop,,,,,,,,39.9173530,32.8175164,"https://www.google.com/maps/search/?api=1&query=39.9173530,32.8175164",node/7074604286
CoffeeHub,cafe,coffee_shop,+90 539 655 35 50,,,,,,Şehit Gönenç Caddesi No: 5 D:69,39.9243151,32.8458292,"https://www.google.com/maps/search/?api=1&query=39.9243151,32.8458292",way/1362583299
CoffeeLab,cafe,coffee_shop,,,,,,,Tuna Caddesi 5A,39.9232981,32.8554392,"https://www.google.com/maps/search/?api=1&query=39.9232981,32.8554392",node/8549773229
Coffy,restaurant,,,,,Mo-Su 08:00-23:00,,,,39.9179034,32.8573871,"https://www.google.com/maps/search/?api=1&query=39.9179034,32.8573871",node/11107378250
Colambia Coffee,cafe,,,,,,,,,39.9236128,32.8255508,"https://www.google.com/maps/search/?api=1&query=39.9236128,32.8255508",node/4622000174
Corvus Pub,pub,,,,,,,,,39.9067447,32.8601825,"https://www.google.com/maps/search/?api=1&query=39.9067447,32.8601825",node/4617561925
Cozy Vintage Coffee,cafe,cake;coffee_shop,+90 531 303 59 33,,cozyvintagecoffee,Su-Th 11:00-22:00; Fr-Sa 11:00-22:30,,,Büklüm Caddesi 43B,39.9093413,32.8599388,"https://www.google.com/maps/search/?api=1&query=39.9093413,32.8599388",node/13607928701
cresco.,cafe,,,,,,,,,39.9282900,32.8157010,"https://www.google.com/maps/search/?api=1&query=39.9282900,32.8157010",node/13980656501
Crossroads Pub,pub,,,,,,yes,,,39.8840651,32.8545922,"https://www.google.com/maps/search/?api=1&query=39.8840651,32.8545922",node/75343439
Dabıl Meze,restaurant,,,,,,,,Kazakistan Caddesi 91B,39.9239738,32.8227733,"https://www.google.com/maps/search/?api=1&query=39.9239738,32.8227733",node/13803041401
Dadaşlar Torum Çağ Et Evi,restaurant,kebab,,,,,,,,39.8919126,32.8253325,"https://www.google.com/maps/search/?api=1&query=39.8919126,32.8253325",node/4406511277
Dafne,restaurant,,,,,,,,,39.8937627,32.8510889,"https://www.google.com/maps/search/?api=1&query=39.8937627,32.8510889",node/293696500
Dalyan Food and Drink,restaurant,,+90 544 4678281,,,,yes,,Çığır Sokak,39.9050773,32.8601874,"https://www.google.com/maps/search/?api=1&query=39.9050773,32.8601874",node/9568486234
Damla Pastanesi,cafe,,,,,,,,,39.9248530,32.8421121,"https://www.google.com/maps/search/?api=1&query=39.9248530,32.8421121",node/12985062922
Dayi Kürek Lahmacun (Emek),restaurant,,+90 312 213 6065,https://lezzetdayiyaceker.com/subeler/emek,,Mo-Su 10:00-23:30,,,Bosna Hersek Caddesi 18,39.9169219,32.8196201,"https://www.google.com/maps/search/?api=1&query=39.9169219,32.8196201",node/9689419638
Dayı'nın Yeri,restaurant,kebab,+90 312 473 12 90,https://dayininyeriankara.com/,,,,,1333. Cadde No: 8,39.8923173,32.8254080,"https://www.google.com/maps/search/?api=1&query=39.8923173,32.8254080",node/12672592439
Dedem Sandwich,fast_food,,,,,,yes,,,39.8847633,32.8528833,"https://www.google.com/maps/search/?api=1&query=39.8847633,32.8528833",node/247617782
Deli Yengeç,restaurant,,,,,,,,,39.8970867,32.8670302,"https://www.google.com/maps/search/?api=1&query=39.8970867,32.8670302",node/4619031443
Dem,restaurant,,,,,,no,,,39.8840155,32.8541989,"https://www.google.com/maps/search/?api=1&query=39.8840155,32.8541989",node/122563753
Devrez,restaurant,,,,,,,,,39.9052562,32.8683922,"https://www.google.com/maps/search/?api=1&query=39.9052562,32.8683922",node/600501148
Dikmen Sandwich,restaurant,,,,,,,,,39.8759904,32.8355715,"https://www.google.com/maps/search/?api=1&query=39.8759904,32.8355715",node/11203819565
Dikmen Vadisi Pusu,cafe,,,,,,,,,39.8952504,32.8444841,"https://www.google.com/maps/search/?api=1&query=39.8952504,32.8444841",way/1090206799
Divan Brasserie,restaurant,,,,,,,,,39.8977265,32.8636131,"https://www.google.com/maps/search/?api=1&query=39.8977265,32.8636131",node/12402630104
Dois,restaurant,,,,,,,,,39.9184677,32.8563595,"https://www.google.com/maps/search/?api=1&query=39.9184677,32.8563595",node/10008208681
Dolunay Cafe,cafe,,,,,,,,,39.9190737,32.8285720,"https://www.google.com/maps/search/?api=1&query=39.9190737,32.8285720",node/4371616189
Domino's,fast_food,pizza,,,,,,,,39.8935520,32.8763696,"https://www.google.com/maps/search/?api=1&query=39.8935520,32.8763696",node/83559452
Domino's Pizza,fast_food,pizza,,,,,,,,39.8617318,32.8168344,"https://www.google.com/maps/search/?api=1&query=39.8617318,32.8168344",node/4362378044
Double Zero Pizzeria,restaurant,pizza;italian,,,,Mo-Su 11:30-22:30,,,,39.8919500,32.8741306,"https://www.google.com/maps/search/?api=1&query=39.8919500,32.8741306",node/11262892676
Dr. Falafel,restaurant,,+90 312 419 17 57,,,Su-Th 12:00-22:00; Fr-Sa 12:00-23:30,yes,wlan,Selanik Caddesi 66/B,39.9173491,32.8575731,"https://www.google.com/maps/search/?api=1&query=39.9173491,32.8575731",node/11111467704
Dubh Linn,pub,,,,,,,,,39.9072087,32.8605848,"https://www.google.com/maps/search/?api=1&query=39.9072087,32.8605848",node/4617571300
DubhLihn Üsküp,restaurant,,,,,,,,,39.8947916,32.8584927,"https://www.google.com/maps/search/?api=1&query=39.8947916,32.8584927",node/4619389480
Durdu Usta,restaurant,kebab,,,,,,,,39.9169204,32.8174691,"https://www.google.com/maps/search/?api=1&query=39.9169204,32.8174691",node/7074597590
Dönerci Hacı Baba,restaurant,,,,,,,,,39.8894323,32.8187603,"https://www.google.com/maps/search/?api=1&query=39.8894323,32.8187603",node/4112347990
Döneristan,fast_food,,,,,,,,,39.9222842,32.8553372,"https://www.google.com/maps/search/?api=1&query=39.9222842,32.8553372",node/4630875928
Dürüm Aspava,restaurant,,,,,,,,,39.9204670,32.8563847,"https://www.google.com/maps/search/?api=1&query=39.9204670,32.8563847",node/9216458436
Dürüm Döner,restaurant,,,,,Mo-Su 08:00-20:00,,,Bayındır-2 Sokak No:43,39.9197886,32.8584003,"https://www.google.com/maps/search/?api=1&query=39.9197886,32.8584003",node/13869843301
Dürümle,fast_food,,,,,,,,,39.9243244,32.8255154,"https://www.google.com/maps/search/?api=1&query=39.9243244,32.8255154",node/12741124494
Eathica Eatery,restaurant,,,,,,,,,39.9003831,32.8559852,"https://www.google.com/maps/search/?api=1&query=39.9003831,32.8559852",node/13112065760
Edessa Kebap,restaurant,,,,,,,,,39.9247352,32.8226283,"https://www.google.com/maps/search/?api=1&query=39.9247352,32.8226283",node/2273349697
Ehlikeyf,restaurant,,,,,,,,,39.9043507,32.8096281,"https://www.google.com/maps/search/?api=1&query=39.9043507,32.8096281",node/851522422
eight. Street Bar,bar,,,,,,,,,39.9004265,32.8576411,"https://www.google.com/maps/search/?api=1&query=39.9004265,32.8576411",node/12630068511
Eksi Maya,restaurant,,,,,Mo-Sa 08:30-22:00,,,,39.9027350,32.8619340,"https://www.google.com/maps/search/?api=1&query=39.9027350,32.8619340",node/11823813988
Ekşi Maya,restaurant,,,,,,,,,39.9229850,32.8039266,"https://www.google.com/maps/search/?api=1&query=39.9229850,32.8039266",node/8338703627
El Paso,bar,,,,,,,,,39.9081212,32.8596676,"https://www.google.com/maps/search/?api=1&query=39.9081212,32.8596676",node/4617561918
Elif Pide Kebap,restaurant,turkish,+90 312 4362122,,,,,,Bağlar Cd.,39.9004469,32.8741512,"https://www.google.com/maps/search/?api=1&query=39.9004469,32.8741512",node/4331217589
Elizinn,cafe,,,https://www.elizinn.com.tr/,,,yes,,Tunalı Hilmi Caddesi 81/A,39.9067795,32.8612594,"https://www.google.com/maps/search/?api=1&query=39.9067795,32.8612594",node/4617717381
Eltiler Pide Kebap,restaurant,,,,,Mo-Su 09:00-21:00,,,Bülbülderesi Caddesi 39,39.9137843,32.8642422,"https://www.google.com/maps/search/?api=1&query=39.9137843,32.8642422",node/12529465874
Emek Ankara,cafe,cake;coffee_shop,,,emek.ankara,Mo-Su 07:00-00:00,,wlan,Güvenlik Cd. 6,39.9048724,32.8526980,"https://www.google.com/maps/search/?api=1&query=39.9048724,32.8526980",node/9503624217
Emir Hatay Dürümcüsü,restaurant,,,https://www.simitcidunyasi.com.tr/,,,,,Cemal Gürsel Caddesi 49,39.9298243,32.8727200,"https://www.google.com/maps/search/?api=1&query=39.9298243,32.8727200",node/2838073322
Emirgan çayevi,cafe,,,,,,,,,39.9256779,32.8474906,"https://www.google.com/maps/search/?api=1&query=39.9256779,32.8474906",node/7291326485
Enderun Kitap Kafe,bar,,,,,,,,,39.9316736,32.8667140,"https://www.google.com/maps/search/?api=1&query=39.9316736,32.8667140",node/6898196186
EOS Restaurant & Bar,restaurant,,,,,,,,,39.8908040,32.8745599,"https://www.google.com/maps/search/?api=1&query=39.8908040,32.8745599",node/828617472
Erdemli Tantuni,restaurant,turkish,+90 312 230 19 20,,,Mo-Fr 11:00-00:00,,,Gazi Mustafa Kemal Bulvarı 59,39.9274693,32.8466250,"https://www.google.com/maps/search/?api=1&query=39.9274693,32.8466250",node/12960033943
EskiYeni Bar,bar,turkish,+90 312 433 07 01,http://eskiyenibar.com,,Mo-Su 12:00-05:00,,wlan,İnkılap Sokak 6 / A,39.9224813,32.8558049,"https://www.google.com/maps/search/?api=1&query=39.9224813,32.8558049",node/4524003491
Espressolab,cafe,coffee_shop,,,,,,,,39.9218483,32.8263092,"https://www.google.com/maps/search/?api=1&query=39.9218483,32.8263092",node/12556402321
EtManyak Burger & Sosis,restaurant,,,,,,,,,39.8965042,32.8561178,"https://www.google.com/maps/search/?api=1&query=39.8965042,32.8561178",node/12539023878
Evim Ev Yemekleri,restaurant,turkish,,,,,,,,39.8944893,32.8772279,"https://www.google.com/maps/search/?api=1&query=39.8944893,32.8772279",node/816745455
Extra Time Coffee,cafe,,,,,,,,Rabindranath Tagore,39.8744659,32.8596230,"https://www.google.com/maps/search/?api=1&query=39.8744659,32.8596230",node/12921135566
Eylül Döner,restaurant,fish,,,,,,,,39.8726466,32.8596488,"https://www.google.com/maps/search/?api=1&query=39.8726466,32.8596488",node/4627366907
Eylül Kafe,cafe,,,,,,,,,39.9195015,32.8558327,"https://www.google.com/maps/search/?api=1&query=39.9195015,32.8558327",node/8153025265
Ezgi cafe,cafe,,,,,,,,,39.9183855,32.8561149,"https://www.google.com/maps/search/?api=1&query=39.9183855,32.8561149",node/10008182742
Ezgisu Pide Kebap,restaurant,,,,,,,,,39.8681211,32.8231096,"https://www.google.com/maps/search/?api=1&query=39.8681211,32.8231096",node/4362548294
f451,cafe,,,,,,,wlan,,39.9092780,32.8608238,"https://www.google.com/maps/search/?api=1&query=39.9092780,32.8608238",node/6320313885
Fado,pub,,,,,,,,,39.9005475,32.8576815,"https://www.google.com/maps/search/?api=1&query=39.9005475,32.8576815",node/12630068512
Faik Hızıroğlu Konukevi Kantini,cafe,,,,,,,wlan,,39.8878507,32.7916137,"https://www.google.com/maps/search/?api=1&query=39.8878507,32.7916137",node/13057959109
Fanus Komünite Kafe,cafe,,+90 551 993 73 13,https://www.instagram.com/fanuskomunitekafe/,,Mo-Su 10:00-22:30,yes,,84. Cadde 34/A,39.9207812,32.8404557,"https://www.google.com/maps/search/?api=1&query=39.9207812,32.8404557",node/12625876731
Farabi Sahnesi,cafe,,+90 312 486 00 58,,farabisahnesi,"Mo, We-Fr 09:00-23:00; Tu 08:30-23:00; Sa 10:00-23:00; Su 10:30-23:00",,,Farabi Sokak 17/A,39.8962202,32.8591748,"https://www.google.com/maps/search/?api=1&query=39.8962202,32.8591748",node/4739270327
Fasıl Ocakbaşı,restaurant,,,,,,,,,39.8683267,32.8572616,"https://www.google.com/maps/search/?api=1&query=39.8683267,32.8572616",node/4627366940
Faust Coffee,cafe,coffee_shop,+90 555 662 84 77,,,Mo-Su 08:00-00:00,,,13. Sokak 3/A,39.9212487,32.8232362,"https://www.google.com/maps/search/?api=1&query=39.9212487,32.8232362",node/13714969101
Fenese Pide,restaurant,,+90 312 480 08 06,,,11:00-21:00,,,,39.8768535,32.8359815,"https://www.google.com/maps/search/?api=1&query=39.8768535,32.8359815",node/11206702660
Feriştah Çiğ Köfte,restaurant,,+90 312 482 82 88,,,"Mo-Fr 13:00-00:00, Sa-Su 14:00-00:00",,,,39.8764257,32.8355299,"https://www.google.com/maps/search/?api=1&query=39.8764257,32.8355299",node/11203819568
Fevzi Hoca Balık Lokantası,restaurant,seafood;turkish,+90 312 215 45 60,https://www.fevzihoca.com.tr/,,Mo-Su 09:00-23:00,,,"Söğütözü Cad, Eski Saklı Bahçe Karşısı 8/6",39.9167065,32.8056799,"https://www.google.com/maps/search/?api=1&query=39.9167065,32.8056799",node/12057677869
Fevzi Usta,restaurant,turkish,,,,,,,,39.8994592,32.8691847,"https://www.google.com/maps/search/?api=1&query=39.8994592,32.8691847",node/599203831
Fiesta Cafe & Pub,cafe,,,,,,,,,39.9208658,32.8566993,"https://www.google.com/maps/search/?api=1&query=39.9208658,32.8566993",node/10259003626
Fige,restaurant,,,,,,yes,,,39.8853055,32.8570084,"https://www.google.com/maps/search/?api=1&query=39.8853055,32.8570084",node/247618857
Fikrim,bar,,,,,Mo-Su 12:00-01:00,,,,39.9151758,32.8572080,"https://www.google.com/maps/search/?api=1&query=39.9151758,32.8572080",node/6908297126
Firik Antakya Künefe,fast_food,,,,,,,,,39.9211119,32.8509507,"https://www.google.com/maps/search/?api=1&query=39.9211119,32.8509507",node/13123324501
Fit'n Food,restaurant,chicken;pasta,,,,,,,Kazakistan Caddesi 113B,39.9217913,32.8228252,"https://www.google.com/maps/search/?api=1&query=39.9217913,32.8228252",node/13970244402
Freedom Pub,bar,,+90 552 864 40 19,,freedom_pubb,Mo-Su 11:00-01:00,,,Olgunlar Caddesi 20/B,39.9149280,32.8571311,"https://www.google.com/maps/search/?api=1&query=39.9149280,32.8571311",node/13792809901
Fried Meister,fast_food,burger,,,,,,,,39.9177440,32.8574447,"https://www.google.com/maps/search/?api=1&query=39.9177440,32.8574447",node/13590058208
Fırın Pide & Kebap,restaurant,,,,,,,,,39.8682454,32.8567466,"https://www.google.com/maps/search/?api=1&query=39.8682454,32.8567466",node/4627366942
Gabo Kitchen Ankara,restaurant,turkish,+90 537 438 44 16,,,Mo-Su 10:30-21:00,,,Şht. H.Temel Kuğuoğlu 17/A,39.9245327,32.8289193,"https://www.google.com/maps/search/?api=1&query=39.9245327,32.8289193",node/11011451353
Gadasını Aldığım Mantı,restaurant,,+90 552 977 97 93,,,Mo-Su 09:00-21:00,,,Oğuzhan Asiltürk Caddesi No:9/E,39.9247970,32.8245541,"https://www.google.com/maps/search/?api=1&query=39.9247970,32.8245541",node/12434089270
Gaga Manjero,restaurant,,,,,,,wlan,,39.8983974,32.8698606,"https://www.google.com/maps/search/?api=1&query=39.8983974,32.8698606",node/321719294
Gar Lokantası,restaurant,turkish,,,,,,,,39.8975795,32.8716825,"https://www.google.com/maps/search/?api=1&query=39.8975795,32.8716825",node/75343386
Garden Pub,bar,,,,,,,,,39.9089133,32.8589038,"https://www.google.com/maps/search/?api=1&query=39.9089133,32.8589038",node/4615157586
Gazi Üniversitesi Mühendislik Yemekhanesi,fast_food,,,https://mediko.gazi.edu.tr/,,Mo-Fr 11:00-13:30,,,,39.9310014,32.8462069,"https://www.google.com/maps/search/?api=1&query=39.9310014,32.8462069",way/421444541
Gelidonya Feneri,restaurant,,,,,,yes,,,39.8845806,32.8562670,"https://www.google.com/maps/search/?api=1&query=39.8845806,32.8562670",node/247618858
Germeç Piliç,restaurant,turkish,+90 312 230 08 07,,,Mo-Su 11:00-22:00,,,,39.8917855,32.8415110,"https://www.google.com/maps/search/?api=1&query=39.8917855,32.8415110",node/7922758910
Geyik Kafe,restaurant,,,,,,,,,39.9304441,32.8637707,"https://www.google.com/maps/search/?api=1&query=39.9304441,32.8637707",node/309903668
Girit Mantı,restaurant,,,,,,,,,39.8702546,32.8590104,"https://www.google.com/maps/search/?api=1&query=39.8702546,32.8590104",node/4627366931
Globica,cafe,coffee_shop,,,,,yes,wlan,Uğur Mumcu Cad.,39.8924144,32.8748551,"https://www.google.com/maps/search/?api=1&query=39.8924144,32.8748551",node/4999877121
Gloria Jean's,cafe,coffee_shop,,,,,yes,wlan,,39.9248252,32.8258405,"https://www.google.com/maps/search/?api=1&query=39.9248252,32.8258405",node/11093270881
Gobitte,fast_food,,,,,,,,,39.9191527,32.8553286,"https://www.google.com/maps/search/?api=1&query=39.9191527,32.8553286",node/6420536982
Granma Pub,bar,,+90 537 375 03 56,,granmapub,Mo-Su 11:00-01:00,yes,,Konur Sokak N:59 D:13,39.9152766,32.8571784,"https://www.google.com/maps/search/?api=1&query=39.9152766,32.8571784",node/9321286534
Grano,cafe,do,,,,,yes,,,39.8921413,32.7884561,"https://www.google.com/maps/search/?api=1&query=39.8921413,32.7884561",node/11033893209
Grano Coffee & Sandwiches,cafe,coffee_shop,,,,,,,,39.9174123,32.8166286,"https://www.google.com/maps/search/?api=1&query=39.9174123,32.8166286",node/7074604086
Greenwich Coffee,cafe,,,https://greenwichcoffee.com/,,Mo-Su 07:30-23:30,no,yes,1424. Cadde 6/3,39.9056232,32.8031889,"https://www.google.com/maps/search/?api=1&query=39.9056232,32.8031889",node/13286045853
GUA,cafe,,,,,,,,,39.9226090,32.8172613,"https://www.google.com/maps/search/?api=1&query=39.9226090,32.8172613",node/13990282001
Guguklu,restaurant,,,,,,,,,39.8961942,32.8127152,"https://www.google.com/maps/search/?api=1&query=39.8961942,32.8127152",node/4652850611
Gupse Fırın & Cafe,cafe,bagel;breakfast;coffee_shop;local;pancake;sandwich;savory_pancakes,+90 312 222 99 33,,,Mo-Su 07:00-21:00,,,Bişkek Caddesi 55/B,39.9271356,32.8189065,"https://www.google.com/maps/search/?api=1&query=39.9271356,32.8189065",node/8715773617
Gusto,cafe,,,,,,,,,39.8639057,32.8556995,"https://www.google.com/maps/search/?api=1&query=39.8639057,32.8556995",node/4411452285
Göksu Lokantası,restaurant,,,,,,,,,39.9045932,32.8676821,"https://www.google.com/maps/search/?api=1&query=39.9045932,32.8676821",node/601091218
Göksu Restoran,restaurant,,,,,,,,,39.9216819,32.8570773,"https://www.google.com/maps/search/?api=1&query=39.9216819,32.8570773",node/93807632
Güllüoğlu,cafe,,,,,,no,,,39.8854052,32.8551628,"https://www.google.com/maps/search/?api=1&query=39.8854052,32.8551628",node/4661050657
Gülçimen Aspava,restaurant,kebab,,,,,,,Bişkek Caddesi,39.9163496,32.8172431,"https://www.google.com/maps/search/?api=1&query=39.9163496,32.8172431",node/7074604185
Gümüş Pastanesi,cafe,turkish,,,,,,,,39.9341345,32.8341472,"https://www.google.com/maps/search/?api=1&query=39.9341345,32.8341472",node/4208976937
Güvenlik Kıraathanesi,cafe,,,,,,,,Kıbrıs Sokak,39.8983504,32.8553668,"https://www.google.com/maps/search/?api=1&query=39.8983504,32.8553668",node/14102571201
Gıyma Kebap,restaurant,kebab;turkish,+90 312 221 06 01,http://instagram.com/giymakebap,,,,,Bişkek Caddesi 129,39.9224793,32.8177422,"https://www.google.com/maps/search/?api=1&query=39.9224793,32.8177422",node/10712115308
Haaz,bar,,,,,,,,,39.9094211,32.8042330,"https://www.google.com/maps/search/?api=1&query=39.9094211,32.8042330",node/14006845802
Hakan Çayevi,cafe,tea;turkish,,,,,,,61. Cadde,39.9234362,32.8245323,"https://www.google.com/maps/search/?api=1&query=39.9234362,32.8245323",node/13970220701
Halil İbo Tandir ve Etli Ekmek,restaurant,,,,,,,,,39.9287943,32.8198037,"https://www.google.com/maps/search/?api=1&query=39.9287943,32.8198037",node/283714260
Halk Ekmek,cafe,,,,,,,,,39.9156591,32.8277466,"https://www.google.com/maps/search/?api=1&query=39.9156591,32.8277466",node/3892316548
Hamsi,restaurant,fish,,,,,,,,39.9058365,32.8163881,"https://www.google.com/maps/search/?api=1&query=39.9058365,32.8163881",node/11149483603
Hanzade Lounge,cafe,coffee_shop,+90 312 562 00 00,,,Mo-Su 09:00-23:00,yes,wlan,Servi Sokak,39.9228904,32.8639093,"https://www.google.com/maps/search/?api=1&query=39.9228904,32.8639093",node/9867848736
Hardal Sandwich Evi,fast_food,,,,,,,,,39.8962250,32.8593765,"https://www.google.com/maps/search/?api=1&query=39.8962250,32.8593765",node/13991846001
Hatayus Kebap,restaurant,chicken;kebab,,,,Mo-Su 09:00-23:00,,wlan,Dikmen Caddesi,39.8673349,32.8220000,"https://www.google.com/maps/search/?api=1&query=39.8673349,32.8220000",node/4362545680
Hayat Cafe,cafe,,,,,,,,Bağlar Cd.,39.9024782,32.8726657,"https://www.google.com/maps/search/?api=1&query=39.9024782,32.8726657",node/4331201191
Hayat Ev Yemekleri,restaurant,,,,,,,,,39.8822222,32.8738036,"https://www.google.com/maps/search/?api=1&query=39.8822222,32.8738036",node/6407900606
Hayyami,bar,,,,,,,,,39.9068888,32.8598553,"https://www.google.com/maps/search/?api=1&query=39.9068888,32.8598553",node/4617561922
Hazırlık B Kantin,fast_food,,,,,,,,,39.9002859,32.7808806,"https://www.google.com/maps/search/?api=1&query=39.9002859,32.7808806",node/13056244998
HD İskender,restaurant,kebab,,,,,,,,39.9178512,32.8555777,"https://www.google.com/maps/search/?api=1&query=39.9178512,32.8555777",node/2404028881
Helvacı Ali,restaurant,,,,,,,,Aşkabat Caddesi 74 A/B,39.9176440,32.8277038,"https://www.google.com/maps/search/?api=1&query=39.9176440,32.8277038",node/13760914603
Hezarfen Olgunlar,bar,,,,,,,,Olgunlar Caddesi,39.9148792,32.8568160,"https://www.google.com/maps/search/?api=1&query=39.9148792,32.8568160",node/8954532217
Hicaz pastanesi,cafe,,,,,,,,,39.9280117,32.8545224,"https://www.google.com/maps/search/?api=1&query=39.9280117,32.8545224",node/4302559794
Hipokrat Cafe,fast_food,,,,,,,,,39.9332607,32.8651071,"https://www.google.com/maps/search/?api=1&query=39.9332607,32.8651071",node/857520940
HIT THE CIRCLE,pub,,,,,,,,,39.9074413,32.8584470,"https://www.google.com/maps/search/?api=1&query=39.9074413,32.8584470",node/13227753389
hmbgr,fast_food,,,,,,,,,39.8990783,32.8625043,"https://www.google.com/maps/search/?api=1&query=39.8990783,32.8625043",node/12318364724
Hocam Kumpir,fast_food,turkish,,,,,,,,39.8924386,32.7883506,"https://www.google.com/maps/search/?api=1&query=39.8924386,32.7883506",node/4627537415
Hollywood 1984,bar,,,,,Tu-Su 09:00-01:00,,,Farabi Sokağı 23/B,39.8965152,32.8575917,"https://www.google.com/maps/search/?api=1&query=39.8965152,32.8575917",node/14060850384
homies pub,bar,turkish;burger;sokak_lezzetleri;regional;grill;steak_house,+90 312 468 06 24,https://www.instagram.com/homies_pub_/,,Mo-Su 11:00-01:00,,,Üsküp Caddesi 24/B,39.8941074,32.8580478,"https://www.google.com/maps/search/?api=1&query=39.8941074,32.8580478",node/4774982347
Hosta,fast_food,turkish,,,,,,,,39.9315288,32.8257832,"https://www.google.com/maps/search/?api=1&query=39.9315288,32.8257832",node/1434102725
House Cafe,cafe,,,,,,,,,39.8983579,32.8694133,"https://www.google.com/maps/search/?api=1&query=39.8983579,32.8694133",node/4081595254
Hoşbeş Cafe,cafe,,,,,,,,,39.8679680,32.8654124,"https://www.google.com/maps/search/?api=1&query=39.8679680,32.8654124",node/902413424
Hypatia Kütüphane Kafe,cafe,,+90 537 237 71 44,,hypatiakutuphanecafe,Mo-We 10:00-23:00; Th-Su 09:00-23:00,,wlan,,39.9179956,32.8591163,"https://www.google.com/maps/search/?api=1&query=39.9179956,32.8591163",node/12282012601
Hype Coffee,cafe,coffee_shop;dessert;sandwich,+90 501 477 06 00,https://www.instagram.com/hypecoffeetr/,,Mo-Su 09:00-23:30,yes,wlan,Selanik Caddesi 55,39.9171796,32.8578746,"https://www.google.com/maps/search/?api=1&query=39.9171796,32.8578746",node/11964155598
Hüdaverdi,cafe,,,,,,,,,39.9006300,32.8052714,"https://www.google.com/maps/search/?api=1&query=39.9006300,32.8052714",node/6481493908
Hülya'nın Mutfağı,restaurant,turkish,,,,,,,,39.8957766,32.8477649,"https://www.google.com/maps/search/?api=1&query=39.8957766,32.8477649",node/13526570801
IF Performance Hall,bar,,,,,,,,,39.9117741,32.8558963,"https://www.google.com/maps/search/?api=1&query=39.9117741,32.8558963",node/4619389478
IF Sokak - Söğütözü,bar,,,,,,,,,39.9135015,32.8084706,"https://www.google.com/maps/search/?api=1&query=39.9135015,32.8084706",node/12833393201
IF Sokak Tunus,pub,,+90 312 427 00 70,https://ifsokak.com/,,"Su-Th 11:00-02:00, Fr-Sa 11:00-02:30",,,Tunus Caddesi,39.9080425,32.8584011,"https://www.google.com/maps/search/?api=1&query=39.9080425,32.8584011",node/11203817922
illy Espressamente,cafe,,,,,,,,,39.9127246,32.8099022,"https://www.google.com/maps/search/?api=1&query=39.9127246,32.8099022",node/4190037936
in 70 coffee,cafe,,,,,Mo-Su 09:30-23:30,,,70. Sokak,39.9219084,32.8253462,"https://www.google.com/maps/search/?api=1&query=39.9219084,32.8253462",node/13997330602
İclal,restaurant,,+90 312 426 60 44,,,Mo-Sa 08:00-21:00,,,,39.9033644,32.8529189,"https://www.google.com/maps/search/?api=1&query=39.9033644,32.8529189",node/11203817936
İdeal Yemek Büfesi,restaurant,,,,,,,,,39.9300784,32.8740549,"https://www.google.com/maps/search/?api=1&query=39.9300784,32.8740549",node/4324773476
İİBF Kantini (Gizem Cafe),fast_food,,,,,,,,,39.8981806,32.7828811,"https://www.google.com/maps/search/?api=1&query=39.8981806,32.7828811",node/4622917821
İLO Adana Kebapçısı,restaurant,kebab;turkish,+90 312 513 21 06,,,,,,Bişkek Caddesi 44A,39.9225976,32.8172463,"https://www.google.com/maps/search/?api=1&query=39.9225976,32.8172463",node/10715959905
İnşaat Mühendisliği Kantini,fast_food,,,,,,,,,39.8903691,32.7834120,"https://www.google.com/maps/search/?api=1&query=39.8903691,32.7834120",node/4623014831
İrene Kültür Evi,cafe,coffee_shop;pancake;pasta,+90 312 433 91 52,,irenecafee,Mo-Su 10:00-23:00,,wlan,,39.9180440,32.8591070,"https://www.google.com/maps/search/?api=1&query=39.9180440,32.8591070",node/9318426309
İzmir Kumrucusu Sandviç & Tost,restaurant,,+90 312 476 56 00,,,07:00-00:00,,,,39.8698546,32.8275775,"https://www.google.com/maps/search/?api=1&query=39.8698546,32.8275775",node/11206702642
Jaffa Coffee Co.,cafe,,,,,,,,,39.9073277,32.8611672,"https://www.google.com/maps/search/?api=1&query=39.9073277,32.8611672",node/4739267239
James Cook,pub,,,,,,,,,39.9113594,32.8567994,"https://www.google.com/maps/search/?api=1&query=39.9113594,32.8567994",node/4063765427
Jolly Joker Ankara,bar,,+90 312 424 11 11,http://www.jjankara.com,,,,,Kızılırmak Sk. 14,39.9146372,32.8582648,"https://www.google.com/maps/search/?api=1&query=39.9146372,32.8582648",node/3093603025
