il,ad,tur,mutfak,telefon,website,instagram,saatler,bahce,wifi,adres,ilce,mahalle,lat,lon,harita,osm_id
Ankara,La Mira,events_venue,,,,,,,,,,,39.9359221,32.6369252,"https://www.google.com/maps/search/?api=1&query=39.9359221,32.6369252",node/13782790676
Ankara,Lama Adası,zoo,,,,,,,,,,,39.9494154,32.7988169,"https://www.google.com/maps/search/?api=1&query=39.9494154,32.7988169",way/1497312895
Ankara,Lunapark,theme_park,,,,,,,,,,,39.9781971,32.5841191,"https://www.google.com/maps/search/?api=1&query=39.9781971,32.5841191",way/226315180
Ankara,Lunapark,theme_park,,,,,,,,,,,39.9240084,32.8785559,"https://www.google.com/maps/search/?api=1&query=39.9240084,32.8785559",way/365629492
Ankara,Maymun Adası,zoo,,,,,,,,,,,39.9491939,32.7995699,"https://www.google.com/maps/search/?api=1&query=39.9491939,32.7995699",way/1497351131
Ankara,Mehmet Akif Ersoy Evi Müzesi,museum,,+90 312 312 18 72,,,Tu-Su 10:00-17:00,,,M.Akif Ersoy Sokak 9,Altndağ,Hamamönü,39.9326084,32.8648649,"https://www.google.com/maps/search/?api=1&query=39.9326084,32.8648649",node/10303127060
Ankara,Mehmet Akif Ersoy Evi ve Müzesi,museum,,,,,,,,,,,39.9326400,32.8648692,"https://www.google.com/maps/search/?api=1&query=39.9326400,32.8648692",way/421299643
Ankara,Meteoroloji Müzesi,museum,,+90 312 359 75 45,https://www.mgm.gov.tr/,,Mo-Fr 09:00-18:00,,,Kütükçü Alibey Caddesi 4/4,Keçiören,Kalaba Mahallesi,39.9695112,32.8621269,"https://www.google.com/maps/search/?api=1&query=39.9695112,32.8621269",node/14014040899
Ankara,Metropol Sineması,cinema,,,,,,,,,,,39.9165613,32.8578638,"https://www.google.com/maps/search/?api=1&query=39.9165613,32.8578638",node/9318426310
Ankara,Midilli Adası,zoo,,,,,,,,,,,39.9516637,32.8031018,"https://www.google.com/maps/search/?api=1&query=39.9516637,32.8031018",way/1497305697
Ankara,Milli Mücadele Atatürk Konutu,museum,,,,,,,,,,,39.9364265,32.8427155,"https://www.google.com/maps/search/?api=1&query=39.9364265,32.8427155",way/1464367544
Ankara,Milli Mücadele Direksiyon Binası,museum,,,,,,,,,,,39.9366925,32.8429496,"https://www.google.com/maps/search/?api=1&query=39.9366925,32.8429496",node/13432569861
Ankara,Miniclub Aile Eğlence Merkezi,theme_park,,,,,Pzt1-paz: 09:30-11:30,,,,Çankaya,Birlik mahallesi,39.8757691,32.8674783,"https://www.google.com/maps/search/?api=1&query=39.8757691,32.8674783",node/10559886083
Ankara,Mogan Bıçak Atölyesi,arts_centre,,,,,,,,,,,39.7870033,32.8047048,"https://www.google.com/maps/search/?api=1&query=39.7870033,32.8047048",node/13746025401
Ankara,Mogan Yumurta Sanatı Atölyesi,arts_centre,,,,,,,,,,,39.7869605,32.8044960,"https://www.google.com/maps/search/?api=1&query=39.7869605,32.8044960",node/13746027601
Ankara,Mogan Çömlek Atölyesi,arts_centre,,,,,,,,,,,39.7872316,32.8047356,"https://www.google.com/maps/search/?api=1&query=39.7872316,32.8047356",node/13746010202
Ankara,Monamour Night Club,nightclub,,,,,Mo-Su 22:00-05:30,,,Gazi Mustafa Kemal Bulvarı 30/A,,,39.9240511,32.8489299,"https://www.google.com/maps/search/?api=1&query=39.9240511,32.8489299",node/4330148989
Ankara,MTA Tabiat Tarihi Müzesi,museum,,,https://sanaltur.mta.gov.tr/,,,,,,,,39.9023069,32.7984209,"https://www.google.com/maps/search/?api=1&query=39.9023069,32.7984209",way/422026047
Ankara,Muhsin Ertuğrul Tiyatrosu,theatre,,,,,,,,,,,39.9378314,32.8486766,"https://www.google.com/maps/search/?api=1&query=39.9378314,32.8486766",way/419393100
Ankara,Mustafa Ayaz Müzesi ve Kültür Merkezi,museum,,,https://www.mustafaayazmuzesi.com/,,Tu-Su 11:00-18:00,,,Ziyabey Caddesi 25,,,39.9115197,32.8213115,"https://www.google.com/maps/search/?api=1&query=39.9115197,32.8213115",node/2286418251
Ankara,Müze,museum,,,,,,,,,,,39.8969676,32.7825149,"https://www.google.com/maps/search/?api=1&query=39.8969676,32.7825149",way/431068150
Ankara,Nazım Hikmet Kongre ve Sanat Merkezi,arts_centre,,,http://nazimhikmet.yenimahalle.bel.tr/,,,,,,,,39.9610794,32.7787884,"https://www.google.com/maps/search/?api=1&query=39.9610794,32.7787884",way/419923018
Ankara,Nurol Sanat Galerisi,gallery,,,,,,,,,,,39.8987231,32.8574401,"https://www.google.com/maps/search/?api=1&query=39.8987231,32.8574401",node/13415264305
Ankara,Nüans Seramik Sanat Atölyesi,gallery,,,,,,,,975. Sokak No: 7,Çankaya,Mürsel Uluç Mahallesi,39.8609182,32.8333719,"https://www.google.com/maps/search/?api=1&query=39.8609182,32.8333719",node/13377738802
Ankara,Odeon,theatre,,,,,,,,,,,39.8755179,32.7520660,"https://www.google.com/maps/search/?api=1&query=39.8755179,32.7520660",way/423422561
Ankara,ODTÜ Bilim ve Teknoloji Müzesi,museum,,,,,,,,,,,39.9013748,32.7715328,"https://www.google.com/maps/search/?api=1&query=39.9013748,32.7715328",way/423686190
Ankara,ODTÜ Golf Sahası,miniature_golf,,,,,,,,,,,39.8910160,32.7879615,"https://www.google.com/maps/search/?api=1&query=39.8910160,32.7879615",way/1116878855
Ankara,Papağan Adası,zoo,,,,,,,,,,,39.9505291,32.8031821,"https://www.google.com/maps/search/?api=1&query=39.9505291,32.8031821",way/1497306600
Ankara,Paribu Cineverse,cinema,,,,,,,,,,,39.9014691,32.6913837,"https://www.google.com/maps/search/?api=1&query=39.9014691,32.6913837",node/1034258000
Ankara,Paribu Cineverse,cinema,,,,,,,,,,,39.8474739,32.8321895,"https://www.google.com/maps/search/?api=1&query=39.8474739,32.8321895",node/4614856665
Ankara,Paribu Cineverse,cinema,,,,,,,,,,,39.9106085,32.7787283,"https://www.google.com/maps/search/?api=1&query=39.9106085,32.7787283",node/4678974450
Ankara,Paribu Cineverse,cinema,,,,,,,,,,,39.9508514,32.8309357,"https://www.google.com/maps/search/?api=1&query=39.9508514,32.8309357",node/4679476629
Ankara,Paribu Cineverse,cinema,,,,,,,,,,,39.9690157,32.7150662,"https://www.google.com/maps/search/?api=1&query=39.9690157,32.7150662",node/5282119305
Ankara,Paribu Cineverse,cinema,,,,,,,,,,,39.9127471,32.8086489,"https://www.google.com/maps/search/?api=1&query=39.9127471,32.8086489",node/6478010543
Ankara,Paribu Cineverse,cinema,,,,,,,,,,,39.9623749,32.7699672,"https://www.google.com/maps/search/?api=1&query=39.9623749,32.7699672",node/10892776949
Ankara,Paribu Cineverse,cinema,,,,,,,,,,,39.9703806,32.8216200,"https://www.google.com/maps/search/?api=1&query=39.9703806,32.8216200",node/11335770670
Ankara,Paribu Cineverse,cinema,,,,,,,,,,,39.8861443,32.8558625,"https://www.google.com/maps/search/?api=1&query=39.8861443,32.8558625",node/11335770672
Ankara,Paribu Cineverse,cinema,,,,,,,,,,,39.9833377,32.6105302,"https://www.google.com/maps/search/?api=1&query=39.9833377,32.6105302",node/11337177529
Ankara,Park L'amore Kır Bahçesi,events_venue,,,,,,,,,,,39.7972151,32.6936848,"https://www.google.com/maps/search/?api=1&query=39.7972151,32.6936848",node/12319028902
Ankara,Park L'amore Kır Bahçesi,events_venue,,,,,,,,,,,39.7971804,32.6934612,"https://www.google.com/maps/search/?api=1&query=39.7971804,32.6934612",relation/18252881
Ankara,Pembe Köşk,museum,,,,,,,,,,,39.8948867,32.8609122,"https://www.google.com/maps/search/?api=1&query=39.8948867,32.8609122",way/404138723
Ankara,Persona,nightclub,,,,,,,,Yunus Nadi Sokağı,Çankaya,Güzeltepe Mahallesi,39.8847683,32.8550026,"https://www.google.com/maps/search/?api=1&query=39.8847683,32.8550026",node/12851080212
Ankara,PTT Pul Müzesi,museum,,+90 312 324 08 71,http://www.pttpulmuzesi.org.tr/PageDetail.aspx?PID=3,,Tu-Su 09:00-17:00,,,Atatürk Bulvarı 13,Altındağ,Hacıbayram Mah,39.9381236,32.8547086,"https://www.google.com/maps/search/?api=1&query=39.9381236,32.8547086",way/267159228
Ankara,Quito Sahne,theatre,,,,quitosahne,Mo-Su 08:00-00:00,,wlan,Selanik Caddesi 82,Çankaya,Kocatepe Mahallesi,39.9161273,32.8581431,"https://www.google.com/maps/search/?api=1&query=39.9161273,32.8581431",node/12804383601
Ankara,Rahmi Mustafa Koç Müzesi,museum,,+90 312 309 6800,https://www.rmk-museum.org.tr/,,,,,Depo Sokağı 1,Altındağ,Kale,39.9370654,32.8634292,"https://www.google.com/maps/search/?api=1&query=39.9370654,32.8634292",way/874846748
Ankara,Rasgele Ankara,nightclub,,,,,,,,Sukarno Cd. 7,Çankaya,Hilal Mahallesi,39.8676496,32.8576627,"https://www.google.com/maps/search/?api=1&query=39.8676496,32.8576627",node/12503933738
Ankara,Redzone Playstation Cafe,amusement_arcade,,,,,,,,,,,39.9915368,32.7987256,"https://www.google.com/maps/search/?api=1&query=39.9915368,32.7987256",node/12836185666
Ankara,Rollhouse,bowling_alley,,4447655,http://www.rollhouse.com/,,,,,Ankuva AVM 1,Çankaya,Üniversiteler Mahallesi,39.8838400,32.7562638,"https://www.google.com/maps/search/?api=1&query=39.8838400,32.7562638",node/11624959723
Ankara,Roma Hamamı Antik Kent,museum,,+90 312 310 72 80,,,Tu-Su 08:30-17:30,,,Çankırı Caddesi 43,Ulus,,39.9459958,32.8531381,"https://www.google.com/maps/search/?api=1&query=39.9459958,32.8531381",node/10303257801
Ankara,Sakarya Meydan Muharebesi Tarihi Milli Parkı,museum,,,,,,,,,,,39.4324139,32.4963639,"https://www.google.com/maps/search/?api=1&query=39.4324139,32.4963639",way/1329155615
Ankara,Sakarya Şehitleri Ve Zafer Anıtı Müzesi,museum,,,,,,,,,,,39.5878406,32.1312848,"https://www.google.com/maps/search/?api=1&query=39.5878406,32.1312848",node/1864630237
Ankara,Salata Retro,nightclub,,,,,,,,,,,39.8586238,32.6795422,"https://www.google.com/maps/search/?api=1&query=39.8586238,32.6795422",node/9969206099
Ankara,Sanat Atölyesi 1,arts_centre,,,,,,,,,,,39.9428196,32.8421680,"https://www.google.com/maps/search/?api=1&query=39.9428196,32.8421680",node/10126069176
Ankara,Sanat Atölyesi 2,arts_centre,,,,,,,,,,,39.9426275,32.8424909,"https://www.google.com/maps/search/?api=1&query=39.9426275,32.8424909",node/10126069177
Ankara,Sanatölye,arts_centre,,,,,,,,,,,39.8619063,32.7156827,"https://www.google.com/maps/search/?api=1&query=39.8619063,32.7156827",way/1495157678
Ankara,Sinemax,cinema,,,,,,,,,,,39.9864451,32.6462407,"https://www.google.com/maps/search/?api=1&query=39.9864451,32.6462407",node/4978557424
Ankara,Siyah Beyaz,gallery,,,,,,,,,,,39.9005789,32.8585520,"https://www.google.com/maps/search/?api=1&query=39.9005789,32.8585520",node/13415264304
Ankara,Somut Olmayan Kültürel Miras Müzesi,museum,,+90 312 311 20 34,,,Mo-Su 10:00-17:00,,,8,Altndağ,Sakarya,39.9339866,32.8640731,"https://www.google.com/maps/search/?api=1&query=39.9339866,32.8640731",node/10303294130
Ankara,Speed Games,theme_park,,,,,,,,,,,39.8480028,32.8566581,"https://www.google.com/maps/search/?api=1&query=39.8480028,32.8566581",node/6286924929
Ankara,Spor-Sanat Merkezi,arts_centre,,,,,,,,,,,39.8264946,32.7763030,"https://www.google.com/maps/search/?api=1&query=39.8264946,32.7763030",way/497485895
Ankara,Tatbikat Sahnesi,theatre,,,,,,,,21,,,39.8985757,32.8579014,"https://www.google.com/maps/search/?api=1&query=39.8985757,32.8579014",way/467577948
Ankara,Tavşan Adası,zoo,,,,,,,,,,,39.9513614,32.8031375,"https://www.google.com/maps/search/?api=1&query=39.9513614,32.8031375",way/1497305995
Ankara,TCDD Müzesi,museum,,,,,,,,,,,39.9357276,32.8443246,"https://www.google.com/maps/search/?api=1&query=39.9357276,32.8443246",node/13432569857
Ankara,Terra Point Art Studio,arts_centre,,+90 530 481 0484,https://terrapointart.com/,,Mo-Su 09:00-21:00,,,Azerbaycan Caddesi 85/A,Çankaya,Yukarı Bahçelievler,39.9235910,32.8283926,"https://www.google.com/maps/search/?api=1&query=39.9235910,32.8283926",node/12953779121
Ankara,Tiamo İsteme & Nişan Salonu,events_venue,,,,,,,,,,,39.9651109,32.6088267,"https://www.google.com/maps/search/?api=1&query=39.9651109,32.6088267",node/12973151147
Ankara,Türk Hamam Müzesi,museum,,,,,,,,,,,40.1697054,31.9169604,"https://www.google.com/maps/search/?api=1&query=40.1697054,31.9169604",way/1212981946
Ankara,Türk Hava Kurumu Müzesi,museum,,,https://www.thk.org.tr/ankara_parasut_kulesivemuze.php,,,,,Hipodrom Caddesi 2,Altındağ,Hacı Bayram Mahallesi,39.9384236,32.8423751,"https://www.google.com/maps/search/?api=1&query=39.9384236,32.8423751",way/405160506
Ankara,Türk Tarihi Müzesi,museum,,,,,Tu-Su 09:00-18:00,,,Kızılelma Caddesi 3,Etimesgut,Yeni Bağlıca,39.9030503,32.6370913,"https://www.google.com/maps/search/?api=1&query=39.9030503,32.6370913",way/1139027799
Ankara,Türk Telekom Telekominikasyon Müzesi,museum,,+90 312 555 23 98,https://www.kulturportali.gov.tr/turkiye/ankara/gezilecekyer/turk-telekom-telekomunkasyon-muzes,,Mo-Su 08:30-17:30,,,Turgut Özal Bulvarı Hızır Reis Caddesi,Altndağ,,39.9560929,32.8666738,"https://www.google.com/maps/search/?api=1&query=39.9560929,32.8666738",node/10303370331
Ankara,Türkiye İş Bankası İktisadi Bağımsızlık Müzesi,museum,,+90 312 311 42 68,https://www.issanat.com.tr/iktisadi-bagimsizlik-muzesi,,Tu-Su 10:00-18:00,,,Çam Sokak 3,Altındağ,,39.9427523,32.8549527,"https://www.google.com/maps/search/?api=1&query=39.9427523,32.8549527",way/289497043
Ankara,Türkpusat Geleneksel Savaş Pusatları Müzesi,museum,,,https://www.turkpusat.com.tr/,,,,,,,,39.9384010,32.8625586,"https://www.google.com/maps/search/?api=1&query=39.9384010,32.8625586",way/874846757
Ankara,Ulucanlar Cezaevi Müzesi,museum,,,https://www.ulucanlarcezaevimuzesi.com/,,,,,,,,39.9381626,32.8732684,"https://www.google.com/maps/search/?api=1&query=39.9381626,32.8732684",way/420319692
Ankara,Valabi Kanguru Adası,zoo,,,,,,,,,,,39.9499184,32.7990348,"https://www.google.com/maps/search/?api=1&query=39.9499184,32.7990348",way/1497309305
Ankara,Westa Garden,events_venue,,,http://www.westagarden.com/,,,,,,,,39.8063984,32.7015234,"https://www.google.com/maps/search/?api=1&query=39.8063984,32.7015234",way/822264525
Ankara,Wishes Boutique Wedding & W Lounge Cafe&Pool Çayyolu,events_venue,,,,,,,,,,,39.8776338,32.6838248,"https://www.google.com/maps/search/?api=1&query=39.8776338,32.6838248",way/1122466322
Ankara,Yaşayan Müze,museum,,,,,,,,,,,40.1709765,31.9178077,"https://www.google.com/maps/search/?api=1&query=40.1709765,31.9178077",way/1212977261
Ankara,Yetişkin Ankara Tavşanı Adası,zoo,,,,,,,,,,,39.9490823,32.8006726,"https://www.google.com/maps/search/?api=1&query=39.9490823,32.8006726",way/1497351815
Ankara,Yunus Emre Kültür ve Sanat Merkezi,arts_centre,,,,,,,,,,,39.9789760,32.8473800,"https://www.google.com/maps/search/?api=1&query=39.9789760,32.8473800",way/391877799
Ankara,Zebra Adası,zoo,,,,,,,,,,,39.9497438,32.7981956,"https://www.google.com/maps/search/?api=1&query=39.9497438,32.7981956",way/1497310680
Ankara,Ziraat Bankası Müzesi,museum,,,https://www.ziraatbank.com.tr/tr/bankamiz/kultur-sanat/ziraat-bankasi-muzesi,,Tu-Su 10:00-17:00; Mo off,,,,,,39.9392350,32.8537919,"https://www.google.com/maps/search/?api=1&query=39.9392350,32.8537919",way/783129542
Ankara,Çankaya Belediyesi Bülent Ecevit Buz Sporları Salonu,ice_rink,,,,,,,,,,,39.8513183,32.8380109,"https://www.google.com/maps/search/?api=1&query=39.8513183,32.8380109",way/1020895938
Ankara,Çankaya Sahne,theatre,,,,,,,,,,,39.9012241,32.8576203,"https://www.google.com/maps/search/?api=1&query=39.9012241,32.8576203",node/12630068515
Ankara,Çayyolu Cüneyt Gökçer Sahnesi,theatre,,,,,,,,,,,39.8832388,32.6831966,"https://www.google.com/maps/search/?api=1&query=39.8832388,32.6831966",way/943493300
Ankara,Çetinkaya Galeri & Çerçeve,gallery,,,,,,,,3438. Cadde 8B,Çankaya,Alacaatlı,39.8485989,32.6354668,"https://www.google.com/maps/search/?api=1&query=39.8485989,32.6354668",node/13634478529
Ankara,Çubuk Kent Müzesi,museum,,,,,,,,,,,40.2387315,33.0311131,"https://www.google.com/maps/search/?api=1&query=40.2387315,33.0311131",way/210189489
Ankara,Öküz,nightclub,,,,,,,,,,,39.9094640,32.8040384,"https://www.google.com/maps/search/?api=1&query=39.9094640,32.8040384",node/14006845901
Ankara,Ördek - Kaz - Tavuk - Sülün Adası,zoo,,,,,,,,,,,39.9510714,32.8033462,"https://www.google.com/maps/search/?api=1&query=39.9510714,32.8033462",way/1497306143
Ankara,Özgümüşoğlu Düğün Sarayı,nightclub,,,,,,,,,,,39.9838738,32.8465882,"https://www.google.com/maps/search/?api=1&query=39.9838738,32.8465882",node/4456459089
Ankara,Şahhane Düğün salonu,events_venue,,,,,,,,,,,39.7835476,32.8057441,"https://www.google.com/maps/search/?api=1&query=39.7835476,32.8057441",way/422631251
Ankara,Şan Davet Evi,events_venue,,,,,,,,,,,39.9846247,32.7785794,"https://www.google.com/maps/search/?api=1&query=39.9846247,32.7785794",node/12389071443
Ankara,Şinasi Sahnesi,theatre,,,,,,,,,,,39.9040298,32.8593654,"https://www.google.com/maps/search/?api=1&query=39.9040298,32.8593654",node/122609760
